fecha,t,h3_id,active
2012-03-17,112,892a100d657ffff,1
2012-03-17,114,892a1008ba3ffff,1
2012-03-17,114,892a10721a3ffff,1
2012-03-17,114,892a1072887ffff,1
2012-03-17,118,892a100d26bffff,1
2012-03-17,118,892a100d347ffff,1
2012-03-17,120,892a1008b3bffff,1
2012-03-17,121,892a100d2c7ffff,1
2012-03-17,123,892a100883bffff,1
2012-03-17,123,892a100d353ffff,1
2012-03-17,123,892a1072cd7ffff,1
2012-03-17,124,892a1008b2bffff,1
2012-03-17,124,892a100d28bffff,1
2012-03-17,124,892a100d64bffff,1
2012-03-17,127,892a100d45bffff,1
2012-03-17,127,892a100d60fffff,1
2012-03-17,127,892a10721bbffff,1
2012-03-17,128,892a100882fffff,1
2012-03-17,129,892a100d62bffff,1
2012-03-17,130,892a100d2bbffff,1
2012-03-17,131,892a10089bbffff,1
2012-03-17,134,892a100d267ffff,1
2012-03-17,135,892a1008933ffff,1
2012-03-17,136,892a100d357ffff,1
2012-03-17,137,892a1008b87ffff,1
2012-03-17,138,892a100d2c3ffff,1
2012-03-17,139,892a1008917ffff,1
2012-03-17,139,892a100d673ffff,1
2012-03-17,142,892a1072c33ffff,1
2012-03-17,143,892a100d6abffff,1
2012-03-17,144,892a10725bbffff,1
2012-03-24,2,892a1072cc7ffff,1
2012-03-24,3,892a100883bffff,1
2012-03-24,3,892a1072ca7ffff,1
2012-03-24,4,892a1072c97ffff,1
2012-03-24,5,892a100d63bffff,1
2012-03-24,6,892a100d2d3ffff,1
2012-03-24,8,892a100d643ffff,1
2012-03-24,11,892a100d37bffff,1
2012-03-24,13,892a100d643ffff,1
2012-03-24,15,892a1072c8bffff,1
2012-03-24,19,892a100d62fffff,1
2012-03-24,21,892a1008c87ffff,1
2012-03-24,26,892a100d20bffff,1
2012-03-24,26,892a10725b3ffff,1
2012-03-24,30,892a100d2cfffff,1
2012-03-24,36,892a100d62fffff,1
2012-03-24,40,892a1072ca7ffff,1
2012-03-24,43,892a100898fffff,1
