fecha,t,z1,z2,z3,z4,z5,z6
2009-01-17,135,-0.023082882,0.016551228,0.023412684,-0.013393329,0.003592312,0.08434125
2009-01-17,136,-0.020552244,0.009306291,-0.0045437706,-0.008551779,-0.01744902,-0.0025027965
2009-01-17,137,-0.021092327,-0.013840631,-0.0041159866,-0.01893928,0.014005141,-0.008369622
2009-01-17,138,-0.009345832,-0.015885968,-0.021075958,-0.07642425,0.009442796,-0.04800954
2009-01-17,140,-0.018553438,-0.011057001,0.0040424652,-0.011180301,0.0044880966,-0.001547296
2009-01-17,141,-0.023881124,-0.03226296,0.023634696,-0.035594404,0.02021246,-0.07524778
2009-01-17,142,-0.031612664,-0.033060044,0.04106911,-0.10956037,-0.79934925,0.4622046
2009-01-17,144,-0.02527822,-0.0071875714,-0.0024131234,-0.009776189,0.013520159,-0.009442556
2009-01-24,2,-0.022659633,-0.013968213,-0.0030259308,-0.010194124,0.0062746466,-0.0021469414
2009-01-24,3,-0.032338414,0.98703843,-0.13779508,0.03532151,-0.025835987,-0.028513854
2009-01-24,4,-0.018466147,0.060656354,0.839934,0.48932853,-0.014022342,-0.020346202
2009-01-24,6,-0.026670009,-0.029267665,0.023894493,-0.03517185,0.04247968,-0.052795753
2009-01-24,10,-0.017873649,-0.0076910527,-0.0059939236,-0.00600843,0.003797365,-0.0071381684
2009-01-24,11,-0.014868914,-0.006589223,0.001984623,-0.006395478,0.0031899,-0.00712565
2009-01-24,13,-0.016702037,0.00622163,0.004545719,-0.082479686,0.010071546,0.042131484
2009-01-24,14,-0.018613638,0.0022672904,-0.0072979196,-0.026690586,-0.003922242,0.0013849393
2009-01-24,15,-0.01898199,-0.024015456,-0.015043663,0.009332693,0.0004703271,-0.003975664
2009-01-24,16,-0.009345832,-0.015885968,-0.021075958,-0.07642425,0.009442796,-0.04800954
2009-01-24,17,-0.02573504,-0.017846132,-0.021833446,-0.03507975,-0.029680764,0.023814375
2009-01-24,19,-0.025332065,0.9729612,-0.122622184,0.047835495,-0.031140147,-0.0074225334
2009-01-24,35,-0.019537289,-0.009500948,-0.0022094138,-0.01137123,0.0051115965,-0.0077054957
2009-01-24,49,-0.024441596,-0.007895936,-0.050070945,-0.08494668,0.024880592,-0.19666372
2009-01-24,55,-0.018171528,-0.011138646,0.0043467,-0.0006621603,0.008231901,-0.0033906598
2009-01-24,56,-0.015664725,-0.004566196,-0.029547062,0.0015973505,0.015060457,-0.029801983
2009-01-24,58,-0.028348563,-0.015162115,-0.0011891916,-0.02855153,-0.012104016,-0.022295529
2009-01-24,59,-0.026481846,-0.010205421,0.0013524265,-0.009195811,0.016250074,-0.009989611
2009-01-24,60,-0.025640797,0.014318977,0.022994058,-0.016889771,0.0034541695,0.082336366
2009-01-24,61,-0.023987092,-0.006280989,0.0026803007,-0.015696403,0.000618641,0.00296907
2009-01-24,64,-0.012627565,-0.0134648215,-0.00721264,-0.012892663,-0.002432096,-0.00076808454
2009-01-24,65,-0.02186228,-0.017769488,-0.0061120363,-0.026444739,0.010681369,-0.01010701
2009-01-24,66,-0.018519731,-0.01123111,-0.0046541635,-0.017670004,-7.5428994e-05,-0.010676407
2009-01-24,70,-0.021737158,-0.014009395,-0.011738219,-0.017769072,0.03103244,-0.0125567755
2009-01-24,71,-0.031713214,-0.015421671,0.007999795,-0.008999234,-0.011667596,-0.048699636
2009-01-24,75,-0.027744727,-0.04128806,-0.0015822594,-0.032994114,-0.0446249,-0.055752065
2009-01-24,76,-0.029267326,-0.02159736,0.00477528,-0.008046056,0.024252022,0.004679207
2009-01-24,82,-0.018709604,-0.040398743,-0.005138726,-0.03481152,-0.0706109,-0.042113118
2009-01-24,83,-0.028294662,-0.02327798,-0.0046413396,-0.02215313,0.008313248,-0.0174654
2009-01-24,84,-0.019403258,-0.0030893525,0.012579692,-0.009368004,0.005993575,-0.021417571
2009-01-24,86,-0.025187979,0.00034692057,-0.007823557,-0.0017708406,-0.0036759127,-0.017536717
2009-01-24,89,-0.018886063,0.0013871234,-0.011664873,-0.029069157,0.024991855,-0.014504594
2009-01-24,93,-0.018921288,-0.019349707,-0.009042707,-0.018061252,-0.008886358,0.01780298
2009-01-24,95,-0.02334288,-0.013713875,-0.004277475,-0.018874418,0.01095326,-0.0055271913
2009-01-24,96,-0.025236474,0.0037301942,-0.0064117145,-0.020782199,0.010478806,-0.037520565
2009-01-24,97,-0.015938818,-0.0010299094,0.01023657,-0.027526109,0.019147247,-0.025700482
2009-01-24,100,-0.025187979,0.00034692057,-0.007823557,-0.0017708406,-0.0036759127,-0.017536717
2009-01-24,103,-0.019253911,-0.007467643,0.012074744,-0.0036311601,-0.0012421065,-0.0067654303
2009-01-24,104,-0.01969616,-0.00047722048,-0.014254864,0.0047511826,0.0008075648,-0.007653097
2009-01-24,105,-0.015664725,-0.004566196,-0.029547062,0.0015973505,0.015060457,-0.029801983
2009-01-24,106,-0.010920926,-0.005218331,0.006922469,-0.0008370986,0.016504098,-0.009896289
2009-01-24,107,-0.01669914,-0.0062357592,-0.0024017831,-0.008052716,0.003529053,-0.006721008
2009-01-24,111,-0.014557597,-0.006909491,-0.0023262927,-0.009080587,0.0051932964,-0.0039999844
2009-01-24,112,-0.01839129,-0.0043560057,0.0014602392,-0.013375976,0.006059439,-0.006243904
2009-01-24,113,-0.020341944,-0.015786322,-0.0073903757,-0.012784101,0.014984743,-0.006719838
2009-01-24,114,-0.01816025,-0.007493909,-0.0029759414,-0.009555706,0.004695252,-0.008515989
2009-01-24,115,-0.014193727,-0.00620743,-0.0023703342,-0.008249479,0.002304336,-0.0063123484
2009-01-24,117,-0.020191861,-0.0038777695,-0.0042690197,-0.013904353,0.006242018,-0.017388979
2009-01-24,118,-0.021785552,-0.01697816,-0.014520511,-0.006616889,-0.002861292,-0.0064196996
2009-01-24,120,-0.018385425,-0.0063194144,0.00078447146,-0.014104144,0.008503774,-0.020143747
2009-01-24,122,-0.025488297,-0.017985968,0.0014871445,-0.025303688,-0.013184643,-0.017494816
2009-01-24,123,-0.023082882,0.016551228,0.023412684,-0.013393329,0.003592312,0.08434125
2009-01-24,124,0.9818116,-0.006263627,-0.0034562107,-0.0027705731,0.0039510555,0.013908719
2009-01-24,126,-0.018690895,-0.012268973,-0.0046312176,0.010521861,-0.025204284,-0.006243208
2009-01-24,127,-0.015100174,-0.010977715,-0.00475877,-0.01634117,0.0036556886,-0.013334657
2009-01-24,128,-0.027856912,-0.021370254,0.061666418,-0.049196694,-0.0035371452,-0.12104842
2009-01-24,130,-0.018466147,0.060656354,0.839934,0.48932853,-0.014022342,-0.020346202
2009-01-24,133,-0.016892835,-0.0064580725,-0.0025033562,-0.008320804,0.004429241,-0.005413637
2009-01-24,134,-0.020665733,-0.004869624,-0.0099228015,-0.019331295,-0.00739016,0.009196796
